Source,UPM,XOPQ,XOPQ ‰,XOUC,XOUC ‰,XOLC,XOLC ‰,XOFI,XOFI ‰,XTRA,XTRA ‰,XTUC,XTUC ‰,XTLC,XTLC ‰,XTFI,XTFI ‰,XTAB,XTAB ‰,GRAD,GRAD ‰,XTSB,XTSB ‰,XUCS,XUCS ‰,XUCR,XUCR ‰,XLCS,XLCS ‰,XLCR,XLCR ‰,XFIR,XFIR ‰,YOPQ,YOPQ ‰,YOUC,YOUC ‰,YOLC,YOLC ‰,YOFI,YOFI ‰,YTAS,YTAS ‰,YTDE,YTDE ‰,YTOS,YTOS ‰,YTUO,YTUO ‰,YTLO,YTLO ‰,YTDO,YTDO ‰,YTAO,YTAO ‰,YTFO,YTFO ‰,YTRA,YTRA ‰,YTUC,YTUC ‰,YTLC,YTLC ‰,YTFI,YTFI ‰,PWGT,PWGT ‰,PWDT,PWDT ‰,POPS,POPS ‰,UDLN,UDLN ‰
RobotoExtremo-Regular.ufo,2048,192,94,192,94,0,0,,,734,359,734,359,666,326,742,363,1156,565,734,359,,,170,83,115,57,148,73,85,42,110,54,158,78,158,78,0,0,0,0,1536,750,-416,-203,-30,-14,-30,-14,-30,-14,-436,-212,1556,760,-30,-14,1952,954,1456,711,1052,514,1456,711,734,359,734,359,,,-244,-119
RobotoExtremo-XTRAmin.ufo,2048,192,94,192,94,0,0,,,454,222,454,222,444,217,505,247,920,450,454,222,,,170,83,115,57,148,73,85,42,110,54,158,78,158,78,0,0,0,0,1536,750,-416,-203,-30,-14,-30,-14,-30,-14,-436,-212,1556,760,-30,-14,1952,954,1456,711,1052,514,1456,711,454,222,454,222,,,-244,-119
RobotoExtremo-XTRAmax.ufo,2048,192,94,192,94,0,0,,,1014,496,1014,496,973,476,977,478,1390,679,1014,496,,,170,83,115,57,148,73,85,42,110,54,158,78,158,78,0,0,0,0,1536,750,-416,-203,-30,-14,-30,-14,-30,-14,-436,-212,1556,760,-30,-14,1952,954,1456,711,1052,514,1456,711,1014,496,1014,496,,,-244,-119
RobotoExtremo-XOPQmin.ufo,2048,54,27,54,27,0,0,,,734,359,734,359,534,261,603,295,1156,565,734,359,,,170,83,115,57,148,73,85,42,249,122,158,78,158,78,0,0,0,0,1536,750,-416,-203,-30,-14,-30,-14,-30,-14,-436,-212,1556,760,-30,-14,1952,954,1456,711,1052,514,1456,711,734,359,734,359,,,-244,-119
RobotoExtremo-XOPQmax.ufo,2048,350,171,350,171,0,0,,,734,359,734,359,820,401,908,444,1156,565,734,359,,,170,83,115,57,148,73,85,42,56,28,158,78,158,78,0,0,0,0,1536,750,-416,-203,-30,-14,-30,-14,-30,-14,-436,-212,1556,760,-30,-14,1952,954,1456,711,1052,514,1456,711,734,359,734,359,,,-244,-119
RobotoExtremo-YOPQmin.ufo,2048,192,94,192,94,0,0,,,734,359,734,359,666,326,742,363,1156,565,734,359,,,170,83,115,57,148,73,85,42,110,54,50,25,50,25,0,0,0,0,1536,750,-416,-203,-30,-14,-30,-14,-30,-14,-436,-212,1556,760,-30,-14,1952,954,1456,711,1052,514,1456,711,734,359,734,359,,,-244,-119
RobotoExtremo-YOPQmax.ufo,2048,192,94,192,94,0,0,,,734,359,734,359,666,326,742,363,1156,565,734,359,,,170,83,115,57,148,73,85,42,110,54,270,132,270,132,0,0,0,0,1536,750,-416,-203,-30,-14,-30,-14,-30,-14,-436,-212,1556,760,-30,-14,1952,954,1456,711,1052,514,1456,711,734,359,734,359,,,-244,-119
RobotoExtremo-YTLCmin.ufo,2048,192,94,192,94,0,0,,,734,359,734,359,666,326,742,363,1156,565,734,359,,,170,83,115,57,148,73,85,42,110,54,158,78,158,78,0,0,0,0,1536,750,-416,-203,-30,-14,-30,-14,-30,-14,-436,-212,1556,760,-30,-14,1952,954,1456,711,852,416,1456,711,734,359,734,359,,,-244,-119
RobotoExtremo-YTLCmax.ufo,2048,192,94,192,94,0,0,,,734,359,734,359,666,326,742,363,1156,565,734,359,,,170,83,115,57,148,73,85,42,110,54,158,78,158,78,0,0,0,0,1536,750,-416,-203,-30,-14,-30,-14,-30,-14,-436,-212,1556,760,-30,-14,1952,954,1456,711,1168,571,1456,711,734,359,734,359,,,-244,-119
RobotoExtremo-YTUCmin.ufo,2048,192,94,192,94,0,0,,,734,359,734,359,666,326,742,363,1156,565,734,359,,,170,83,115,57,148,73,85,42,110,54,158,78,158,78,0,0,0,0,1536,750,-416,-203,-30,-14,-30,-14,-30,-14,-436,-212,1556,760,-30,-14,1952,954,1082,529,1052,514,1456,711,734,359,734,359,,,-244,-119
RobotoExtremo-YTUCmax.ufo,2048,192,94,192,94,0,0,,,734,359,734,359,666,326,742,363,1156,565,734,359,,,170,83,115,57,148,73,85,42,110,54,158,78,158,78,0,0,0,0,1536,750,-416,-203,-32,-15,-32,-15,-30,-14,-436,-212,1556,760,-30,-14,1952,954,1556,760,1052,514,1456,711,734,359,734,359,,,-244,-119
RobotoExtremo-YTASmin.ufo,2048,192,94,192,94,0,0,,,734,359,734,359,666,326,742,363,1156,565,734,359,,,170,83,115,57,148,73,85,42,110,54,158,78,158,78,0,0,0,0,1330,650,-416,-203,-30,-14,-30,-14,-30,-14,-436,-212,1349,659,-30,-14,1746,853,1456,711,1052,514,1456,711,734,359,734,359,,,-244,-119
RobotoExtremo-YTASmax.ufo,2048,192,94,192,94,0,0,,,734,359,734,359,666,326,742,363,1156,565,734,359,,,170,83,115,57,148,73,85,42,110,54,158,78,158,78,0,0,0,0,1750,855,-416,-203,-30,-14,-30,-14,-30,-14,-436,-212,1771,865,-30,-14,2166,1058,1456,711,1052,514,1456,711,734,359,734,359,,,-244,-119
RobotoExtremo-YTDEmin.ufo,2048,192,94,192,94,0,0,,,734,359,734,359,666,326,742,363,1156,565,734,359,,,170,83,115,57,148,73,85,42,110,54,158,78,158,78,0,0,0,0,1536,750,-620,-302,-30,-14,-30,-14,-30,-14,-643,-314,1556,760,-30,-14,2156,1053,1456,711,1052,514,1456,711,734,359,734,359,,,-244,-119
RobotoExtremo-YTDEmax.ufo,2048,192,94,192,94,0,0,,,734,359,734,359,666,326,742,363,1156,565,734,359,,,170,83,115,57,148,73,85,42,110,54,158,78,158,78,0,0,0,0,1536,750,-200,-97,-30,-14,-30,-14,-30,-14,-221,-107,1556,760,-30,-14,1736,848,1456,711,1052,514,1456,711,734,359,734,359,,,-244,-119
RobotoExtremo-GRADmin.ufo,2048,131,64,131,64,0,0,,,816,399,816,399,705,345,746,365,1156,565,816,399,,,190,93,135,66,158,78,102,50,139,68,96,47,96,47,0,0,0,0,1536,750,-416,-203,-30,-14,-30,-14,-30,-14,-436,-212,1556,760,-30,-14,1952,954,1456,711,1052,514,1456,711,816,399,816,399,,,-243,-118
RobotoExtremo-GRADmax.ufo,2048,254,124,254,124,0,0,,,641,313,641,313,646,316,722,353,1156,565,641,313,,,156,77,95,47,128,63,70,35,84,41,221,108,221,108,0,0,0,0,1536,750,-416,-203,-30,-14,-30,-14,-30,-14,-436,-212,1556,760,-30,-14,1952,954,1456,711,1052,514,1456,711,641,313,641,313,,,-242,-118
RobotoExtremo-wghtmin.ufo,2048,90,44,90,44,0,0,,,779,381,779,381,618,302,737,360,1156,565,779,381,,,170,83,115,57,148,73,85,42,164,81,85,42,85,42,0,0,0,0,1536,750,-416,-203,-30,-14,-30,-14,-30,-14,-436,-212,1556,760,-30,-14,1952,954,1456,711,1052,514,1456,711,779,381,779,381,,,-100,-48
