Source,Designspace,UPM,XTRA1,XTRA1 ‰,YTRA1,YTRA1 ‰,XOPQ1,XOPQ1 ‰,YOPQ1,YOPQ1 ‰,YTLC1,YTLC1 ‰,YTUC1,YTUC1 ‰,YTFG1,YTFG1 ‰,YTAS1,YTAS1 ‰,YTDE1,YTDE1 ‰,YTAD1,YTAD1 ‰,YTDD1,YTDD1 ‰,YOAW1,YOAW1 ‰,XOAW1,XOAW1 ‰,XTAB1,XTAB1 ‰,YTSE1,YTSE1 ‰,VOTF1,VOTF1 ‰,PWTH1,PWTH1 ‰,PWHT1,PWHT1 ‰,UDLN1,UDLN1 ‰
Amstelvar-Italic-wdthmax.ufo,Amstelvar-Italic-002.designspace,2000,1139,569.5,1875,937.5,166,83,119,59.5,270,135,1500,750,1501,750.5,1620,810,-375,-187.5,389,194.5,,,260,130,266,133,,,20,10,,,1139,569.5,166,83,-338,-169
Amstelvar-Italic-wdthmin.ufo,Amstelvar-Italic-002.designspace,2000,433,216.5,1892,946,161,80.5,115,57.5,262,131,1500,750,1501,750.5,1618,809,-392,-196,370,185,,,212,106,218,109,,,20,10,,,433,216.5,161,80.5,-341,-170.5
Amstelvar-Italic-wghtmin.ufo,Amstelvar-Italic-002.designspace,2000,829,414.5,1892,946,76,38,61,30.5,338,169,1500,750,1514,757,1631,815.5,-392,-196,349,174.5,,,163,81.5,168,84,,,31,15.5,,,829,414.5,76,38,-348,-174
Amstelvar-Italic-wghtmax.ufo,Amstelvar-Italic-002.designspace,2000,470,235,1867,933.5,495,247.5,141,70.5,234,117,1500,750,1456,728,1625,812.5,-367,-183.5,467,233.5,,,308,154,314,157,,,20,10,,,470,235,495,247.5,-314,-157
Amstelvar-Italic.ufo,Amstelvar-Italic-002.designspace,2000,729,364.5,1892,946,156,78,109,54.5,270,135,1500,750,1501,750.5,1625,812.5,-392,-196,389,194.5,,,236,118,242,121,,,20,10,,,729,364.5,156,78,-348,-174
Amstelvar-Italic-opsz-min.ufo,Amstelvar-Italic-002.designspace,2000,748,374,1914,957,210,105,170,85,293,146.5,1500,750,1500,750,1653,826.5,-414,-207,389,194.5,,,260,130,266,133,,,20,10,,,748,374,210,105,-323,-161.5
Amstelvar-Italic-opsz-36.ufo,Amstelvar-Italic-002.designspace,2000,673.4,336.7,1931.4,965.7,156,78,69.6,34.8,319.7,159.9,1500,750,1510.4,755.2,1609.2,804.6,-431.4,-215.7,353.1,176.5,,,210.9,105.4,215.4,107.7,,,17.5,8.8,,,673.4,336.7,156,78,-394.3,-197.1
Amstelvar-Italic-opsz-84.ufo,Amstelvar-Italic-002.designspace,2000,622.1,311,1967.7,983.8,156,78,33.3,16.7,365.6,182.8,1500,750,1519,759.5,1594.7,797.4,-467.7,-233.8,319.9,160,,,187.7,93.9,190.9,95.5,,,15.3,7.6,,,622.1,311,156,78,-436.9,-218.5
Amstelvar-Italic-opsz-max.ufo,Amstelvar-Italic-002.designspace,2000,616,308,1972,986,156,78,29,14.5,371,185.5,1500,750,1520,760,1593,796.5,-472,-236,316,158,,,185,92.5,188,94,,,15,7.5,,,616,308,156,78,-442,-221
Amstelvar-Roman-wdthmax.ufo,Amstelvar-Roman-008.designspace,2000,1186,593,1980,990,180,90,124,62,1000,500,1500,750,1500,750,1500,750,-480,-240,389,194.5,,,236,118,242,121,,,35,17.5,,,1186,593,180,90,-338,-169
Amstelvar-Roman-wdthmin.ufo,Amstelvar-Roman-008.designspace,2000,444,222,1980,990,166,83,120,60,1000,500,1500,750,1500,750,1500,750,-480,-240,350,175,,,212,106,194,97,,,35,17.5,,,444,222,166,83,-341,-170.5
Amstelvar-Roman-wghtmin.ufo,Amstelvar-Roman-008.designspace,2000,944,472,1980,990,76,38,54,27,1000,500,1500,750,1500,750,1500,750,-480,-240,314,157,,,164,82,166,83,,,35,17.5,,,944,472,76,38,-409,-204.5
Amstelvar-Roman-wghtmax.ufo,Amstelvar-Roman-008.designspace,2000,504,252,1980,990,497,248.5,154,77,1050,525,1500,750,1500,750,1500,750,-480,-240,467,233.5,,,308,154,314,157,,,35,17.5,,,504,252,497,248.5,-224,-112
Amstelvar-Roman.ufo,Amstelvar-Roman-008.designspace,2000,804,402,1980,990,176,88,124,62,1000,500,1500,750,1500,750,1500,750,-480,-240,389,194.5,,,236,118,242,121,,,35,17.5,,,804,402,176,88,-336,-168
Amstelvar-Roman-opsz-min.ufo,Amstelvar-Roman-008.designspace,2000,804,402,1980,990,220,110,174,87,1050,525,1500,750,1500,750,1500,750,-480,-240,403,201.5,,,278,139,284,142,,,35,17.5,,,804,402,220,110,-317,-158.5
Amstelvar-Roman-opsz-36.ufo,Amstelvar-Roman-008.designspace,2000,753.1,376.6,1970.2,985.1,169.6,84.8,77.2,38.6,960.6,480.3,1500,750,1500,750,1500,750,-470.2,-235.1,357.5,178.7,,,221.2,110.6,226.2,113.1,,,35,17.5,,,753.1,376.6,169.6,84.8,-388.2,-194.1
Amstelvar-Roman-opsz-84.ufo,Amstelvar-Roman-008.designspace,2000,706.2,353.1,1961.1,980.5,163.7,81.9,34.1,17.1,924.3,462.2,1500,750,1500,750,1500,750,-461.1,-230.5,328.4,164.2,,,207.6,103.8,211.7,105.9,,,35,17.5,,,706.2,353.1,163.7,81.9,-436.3,-218.1
Amstelvar-Roman-opsz-max.ufo,Amstelvar-Roman-008.designspace,2000,700.7,350.3,1960,980,163,81.5,29,14.5,920,460,1500,750,1500,750,1500,750,-460,-230,325,162.5,,,206,103,210,105,,,35,17.5,,,700.7,350.3,163,81.5,-442,-221
Amstelvar-Roman-XTRAmax.ufo,Amstelvar-Roman-008.designspace,2000,1104,552,1980,990,176,88,124,62,1000,500,1500,750,1500,750,1500,750,-480,-240,389,194.5,,,236,118,242,121,,,35,17.5,,,1104,552,176,88,-336,-168
Amstelvar-Roman-XTRAmin.ufo,Amstelvar-Roman-008.designspace,2000,473,236.5,1980,990,176,88,124,62,1000,500,1500,750,1500,750,1500,750,-480,-240,389,194.5,,,236,118,242,121,,,35,17.5,,,473,236.5,176,88,-336,-168
Amstelvar-Roman-XOPQmax.ufo,Amstelvar-Roman-008.designspace,2000,804,402,1980,990,526,263,124,62,1000,500,1500,750,1500,750,1500,750,-480,-240,389,194.5,,,236,118,242,121,,,35,17.5,,,804,402,526,263,-336,-168
